"timestamp","solar"
"2023-03-18 00:01:57","32386.6000"
"2023-03-18 00:26:17","32386.6000"
"2023-03-18 00:38:26","32386.6000"
"2023-03-18 00:50:36","32386.6000"
"2023-03-18 01:02:46","32386.6000"
"2023-03-18 01:27:04","32386.6000"
"2023-03-18 01:39:14","32386.6000"
"2023-03-18 01:51:23","32386.6000"
"2023-03-18 02:03:33","32386.6000"
"2023-03-18 02:15:42","32386.6000"
"2023-03-18 02:40:00","32386.6000"
"2023-03-18 02:52:10","32386.6000"
"2023-03-18 03:04:19","32386.6000"
"2023-03-18 03:16:29","32386.6000"
"2023-03-18 03:40:48","32386.6000"
"2023-03-18 03:52:58","32386.6000"
"2023-03-18 04:05:07","32386.6000"
"2023-03-18 04:17:17","32386.6000"
"2023-03-18 04:41:36","32386.6000"
"2023-03-18 04:53:45","32386.6000"
"2023-03-18 05:05:54","32386.6000"
"2023-03-18 05:18:04","32386.6000"
"2023-03-18 05:42:23","32386.6000"
"2023-03-18 05:54:33","32386.6000"
"2023-03-18 06:06:42","32386.6000"
"2023-03-18 06:18:52","32386.6000"
"2023-03-18 06:31:01","32386.6000"
"2023-03-18 06:55:20","32386.6000"
"2023-03-18 07:07:29","32386.6000"
"2023-03-18 08:32:48","32386.7335"
"2023-03-18 08:57:08","32386.7760"
"2023-03-18 09:09:17","32386.8002"
"2023-03-18 09:21:27","32386.8364"
"2023-03-18 09:33:36","32386.8744"
"2023-03-18 09:45:46","32386.9107"
"2023-03-18 10:10:05","32386.9812"
"2023-03-18 10:22:14","32387.0908"
"2023-03-18 10:34:24","32387.2981"
"2023-03-18 10:46:33","32387.5828"
"2023-03-18 11:10:52","32387.9799"
"2023-03-18 11:23:02","32388.3060"
"2023-03-18 11:35:11","32388.7563"
"2023-03-18 11:47:19","32389.1316"
"2023-03-18 12:11:38","32389.4640"
"2023-03-18 12:23:47","32389.7791"
"2023-03-18 12:35:56","32390.0935"
"2023-03-18 12:48:05","32390.3715"
"2023-03-18 13:12:23","32390.5048"
"2023-03-18 13:24:32","32390.6008"
"2023-03-18 13:36:41","32390.7269"
"2023-03-18 13:48:50","32390.9304"
"2023-03-18 14:00:59","32391.0167"
"2023-03-18 14:25:17","32391.1044"
"2023-03-18 14:37:27","32391.1630"
"2023-03-18 14:49:36","32391.2193"
"2023-03-18 15:01:46","32391.3200"
"2023-03-18 15:26:05","32391.4764"
"2023-03-18 15:38:14","32391.5234"
"2023-03-18 15:50:24","32391.5791"
"2023-03-18 16:02:33","32391.5842"
"2023-03-18 16:26:52","32391.6082"
"2023-03-18 16:39:01","32391.6579"
"2023-03-18 16:51:11","32391.6762"
"2023-03-18 17:03:20","32391.6917"
"2023-03-18 17:27:39","32391.7075"
"2023-03-18 17:39:48","32391.7240"
"2023-03-18 17:51:56","32391.7323"
"2023-03-18 18:04:06","32391.7391"
"2023-03-18 18:16:15","32391.7414"
"2023-03-18 18:40:33","32391.7437"
"2023-03-18 18:52:42","32391.7437"
"2023-03-18 19:04:51","32391.7437"
"2023-03-18 19:17:00","32391.7437"
"2023-03-18 19:41:18","32391.7437"
"2023-03-18 19:53:27","32391.7437"
"2023-03-18 20:05:36","32391.7437"
"2023-03-18 20:17:45","32391.7437"
"2023-03-18 20:42:03","32391.7437"
"2023-03-18 20:54:12","32391.7437"
"2023-03-18 21:06:21","32391.7437"
"2023-03-18 21:18:30","32391.7437"
